Region,Year,Mean BMI (female)
Africa,2000,23.296389592444445
Africa,2001,23.402647933555556
Africa,2002,23.507479495555557
Africa,2003,23.610441836222222
Africa,2004,23.710723653777777
Africa,2005,23.807607897555556
Africa,2006,23.90188859222222
Africa,2007,23.993913116
Africa,2008,24.083907964666665
Africa,2009,24.171790082
Africa,2010,24.25786705088889
Africa,2011,24.342822347555558
Africa,2012,24.42659944111111
Africa,2013,24.509690580666664
Africa,2014,24.592395974666665
Africa,2015,24.674403054888888
Africa,2016,24.75537203533333
Caribbean,2000,26.35645754
Caribbean,2001,26.46806755125
Caribbean,2002,26.57743578625
Caribbean,2003,26.68452155
Caribbean,2004,26.78965973375
Caribbean,2005,26.8931336425
Caribbean,2006,26.995439570000002
Caribbean,2007,27.0968082325
Caribbean,2008,27.197725225
Caribbean,2009,27.298330746250002
Caribbean,2010,27.3989606675
Caribbean,2011,27.499948915
Caribbean,2012,27.6007101275
Caribbean,2013,27.70153774
Caribbean,2014,27.80187737875
Caribbean,2015,27.901554654999998
Caribbean,2016,28.0004291825
Central America,2000,26.454806647142856
Central America,2001,26.59769509428571
Central America,2002,26.734630175714283
Central America,2003,26.86592512142857
Central America,2004,26.99273332857143
Central America,2005,27.115601260000002
Central America,2006,27.235332577142856
Central America,2007,27.352542295714283
Central America,2008,27.46844906
Central America,2009,27.58385769142857
Central America,2010,27.69902358
Central America,2011,27.81423183
Central America,2012,27.929401737142857
Central America,2013,28.04426059857143
Central America,2014,28.158417944285713
Central America,2015,28.271697564285713
Central America,2016,28.38380357571429
Central Asia,2000,25.078583472
Central Asia,2001,25.183942352
Central Asia,2002,25.291310268
Central Asia,2003,25.40036617
Central Asia,2004,25.511341134
Central Asia,2005,25.623896078
Central Asia,2006,25.738726884
Central Asia,2007,25.856038776000002
Central Asia,2008,25.976398162
Central Asia,2009,26.099532449999998
Central Asia,2010,26.224378694000002
Central Asia,2011,26.351623403999998
Central Asia,2012,26.480958723999997
Central Asia,2013,26.612503806
Central Asia,2014,26.744909016
Central Asia,2015,26.87774526
Central Asia,2016,27.011284322
Eastern Asia,2000,23.102483374000002
Eastern Asia,2001,23.141637274
Eastern Asia,2002,23.183765244
Eastern Asia,2003,23.228385262
Eastern Asia,2004,23.275633762000002
Eastern Asia,2005,23.324868243999997
Eastern Asia,2006,23.375486316
Eastern Asia,2007,23.427461458
Eastern Asia,2008,23.480302082
Eastern Asia,2009,23.533690178
Eastern Asia,2010,23.586788014
Eastern Asia,2011,23.639004658
Eastern Asia,2012,23.690563804
Eastern Asia,2013,23.741352176
Eastern Asia,2014,23.791146764
Eastern Asia,2015,23.8398032
Eastern Asia,2016,23.886992394
Europe,2000,25.38060262033333
Europe,2001,25.423613177666667
Europe,2002,25.465859159
Europe,2003,25.506927544333333
Europe,2004,25.546577395333333
Europe,2005,25.584498404999998
Europe,2006,25.620608183999998
Europe,2007,25.655021146000003
Europe,2008,25.687341565
Europe,2009,25.71726109833333
Europe,2010,25.744228878666668
Europe,2011,25.76887487766667
Europe,2012,25.791937075666667
Europe,2013,25.814369761000002
Europe,2014,25.836321781333332
Europe,2015,25.858004338666667
Europe,2016,25.879469248000003
Northern America,2000,26.789643740000002
Northern America,2001,26.89675351
Northern America,2002,26.996940600000002
Northern America,2003,27.089737145
Northern America,2004,27.175983375
Northern America,2005,27.25658833
Northern America,2006,27.332103795000002
Northern America,2007,27.403746415
Northern America,2008,27.47152603
Northern America,2009,27.535946715
Northern America,2010,27.596276525
Northern America,2011,27.652498375
Northern America,2012,27.706216975
Northern America,2013,27.759217810000003
Northern America,2014,27.812118455
Northern America,2015,27.86468045
Northern America,2016,27.917206710000002
Oceania,2000,25.981675113333335
Oceania,2001,26.09142932
Oceania,2002,26.19686766
Oceania,2003,26.29768754
Oceania,2004,26.394027076666664
Oceania,2005,26.485789913333335
Oceania,2006,26.573172474999996
Oceania,2007,26.657273376666666
Oceania,2008,26.738684541666668
Oceania,2009,26.817619453333332
Oceania,2010,26.894368605
Oceania,2011,26.969677113333333
Oceania,2012,27.044263573333335
Oceania,2013,27.1184793
Oceania,2014,27.19240429
Oceania,2015,27.265992423333334
Oceania,2016,27.33939863333333
South America,2000,26.025198292499997
South America,2001,26.120148390833332
South America,2002,26.21274529
South America,2003,26.303645890833334
South America,2004,26.393802739999998
South America,2005,26.484097375833333
South America,2006,26.574948460833337
South America,2007,26.666723876666666
South America,2008,26.760016195000002
South America,2009,26.855294605
South America,2010,26.952586029166667
South America,2011,27.05193419
South America,2012,27.152461327500003
South America,2013,27.254044736666668
South America,2014,27.355994881666664
South America,2015,27.457904710833333
South America,2016,27.5591899825
South-eastern Asia,2000,22.54778498
South-eastern Asia,2001,22.63179787
South-eastern Asia,2002,22.715572398
South-eastern Asia,2003,22.798843772
South-eastern Asia,2004,22.882387982
South-eastern Asia,2005,22.966703415
South-eastern Asia,2006,23.052678785999998
South-eastern Asia,2007,23.140641983000002
South-eastern Asia,2008,23.230910133000002
South-eastern Asia,2009,23.323715026
South-eastern Asia,2010,23.418611655
South-eastern Asia,2011,23.515697767
South-eastern Asia,2012,23.614543173999998
South-eastern Asia,2013,23.713855346
South-eastern Asia,2014,23.813528382
South-eastern Asia,2015,23.912415755
South-eastern Asia,2016,24.010215669
Southern Asia,2000,22.333414228888888
Southern Asia,2001,22.455490085555553
Southern Asia,2002,22.577277507777776
Southern Asia,2003,22.697675847777777
Southern Asia,2004,22.81661619222222
Southern Asia,2005,22.934124244444444
Southern Asia,2006,23.050326232222222
Southern Asia,2007,23.16630481111111
Southern Asia,2008,23.282351227777777
Southern Asia,2009,23.398699571111113
Southern Asia,2010,23.514790166666664
Southern Asia,2011,23.630866567777776
Southern Asia,2012,23.747065514444444
Southern Asia,2013,23.863267399999998
Southern Asia,2014,23.978863580000002
Southern Asia,2015,24.093864244444447
Southern Asia,2016,24.20782954
Western Asia,2000,27.27523322277778
Western Asia,2001,27.34243679
Western Asia,2002,27.407090236666665
Western Asia,2003,27.468783764444442
Western Asia,2004,27.527986123333335
Western Asia,2005,27.584364716666666
Western Asia,2006,27.639319641666667
Western Asia,2007,27.694796640555555
Western Asia,2008,27.752901801666667
Western Asia,2009,27.81245592388889
Western Asia,2010,27.87231365111111
Western Asia,2011,27.932222434444444
Western Asia,2012,27.992826539444444
Western Asia,2013,28.054054051666668
Western Asia,2014,28.115635236666666
Western Asia,2015,28.177537439444443
Western Asia,2016,28.23942021722222
All Countries,2000,24.750960158535033
All Countries,2001,24.83916542585987
All Countries,2002,24.92583760254777
All Countries,2003,25.010663010828026
All Countries,2004,25.09363127254777
All Countries,2005,25.174555471401273
All Countries,2006,25.253982447388534
All Countries,2007,25.332470127197453
All Countries,2008,25.41043567044586
All Countries,2009,25.48776400019108
All Countries,2010,25.564218078917197
All Countries,2011,25.640169788025478
All Countries,2012,25.715742951210192
All Countries,2013,25.791193351783438
All Countries,2014,25.866425397261146
All Countries,2015,25.94124275
All Countries,2016,26.015417404904458
