Region,Year,Mean BMI (male)
Africa,2000,21.946755748666668
Africa,2001,22.019600050222223
Africa,2002,22.09168476777777
Africa,2003,22.162999137333333
Africa,2004,22.233185208888887
Africa,2005,22.30086850755556
Africa,2006,22.366349216222225
Africa,2007,22.428859944666662
Africa,2008,22.487920496222223
Africa,2009,22.542829384666668
Africa,2010,22.59417160488889
Africa,2011,22.643680651333334
Africa,2012,22.6918971
Africa,2013,22.73955339711112
Africa,2014,22.78776218155556
Africa,2015,22.835997145333334
Africa,2016,22.88430480022222
Caribbean,2000,25.07346583875
Caribbean,2001,25.170280115
Caribbean,2002,25.26730069
Caribbean,2003,25.36434010125
Caribbean,2004,25.46120470625
Caribbean,2005,25.55753201125
Caribbean,2006,25.65330326875
Caribbean,2007,25.74864789
Caribbean,2008,25.84361771125
Caribbean,2009,25.938170395
Caribbean,2010,26.032619615
Caribbean,2011,26.126996075
Caribbean,2012,26.22041652
Caribbean,2013,26.31308043875
Caribbean,2014,26.405140765
Caribbean,2015,26.49711069375
Caribbean,2016,26.588911155
Central America,2000,25.26451934285714
Central America,2001,25.36360669142857
Central America,2002,25.46058262714285
Central America,2003,25.55521736428572
Central America,2004,25.647499565714288
Central America,2005,25.736806688571427
Central America,2006,25.823421844285715
Central America,2007,25.907880735714286
Central America,2008,25.99085840714286
Central America,2009,26.072463851428573
Central America,2010,26.153296688571427
Central America,2011,26.233649128571432
Central America,2012,26.313016834285715
Central America,2013,26.39123907142857
Central America,2014,26.46914259428572
Central America,2015,26.546650677142857
Central America,2016,26.62412152
Central Asia,2000,24.755847546
Central Asia,2001,24.83198266
Central Asia,2002,24.911374418
Central Asia,2003,24.994333502
Central Asia,2004,25.081054834
Central Asia,2005,25.171883584
Central Asia,2006,25.266893948
Central Asia,2007,25.366004764000003
Central Asia,2008,25.469569518
Central Asia,2009,25.5759216
Central Asia,2010,25.684374766
Central Asia,2011,25.794848609999995
Central Asia,2012,25.906518942
Central Asia,2013,26.018830288
Central Asia,2014,26.13230095
Central Asia,2015,26.246143978
Central Asia,2016,26.360817464
Eastern Asia,2000,23.184689396
Eastern Asia,2001,23.25287635
Eastern Asia,2002,23.32488887
Eastern Asia,2003,23.400408908
Eastern Asia,2004,23.478986868
Eastern Asia,2005,23.560460744
Eastern Asia,2006,23.643964758
Eastern Asia,2007,23.729223136
Eastern Asia,2008,23.81618319
Eastern Asia,2009,23.904658392
Eastern Asia,2010,23.994216876
Eastern Asia,2011,24.085402796
Eastern Asia,2012,24.178393842
Eastern Asia,2013,24.273230454
Eastern Asia,2014,24.369629266
Eastern Asia,2015,24.467504456
Eastern Asia,2016,24.565383196
Europe,2000,26.060354144
Europe,2001,26.144532531666663
Europe,2002,26.229324884
Europe,2003,26.31417364733333
Europe,2004,26.398004605666664
Europe,2005,26.479548625
Europe,2006,26.558342271
Europe,2007,26.63328341033333
Europe,2008,26.703521019333333
Europe,2009,26.769062411333334
Europe,2010,26.829742739
Europe,2011,26.886637984666667
Europe,2012,26.940761057
Europe,2013,26.993686145
Europe,2014,27.046673820333336
Europe,2015,27.100142337666668
Europe,2016,27.15435361866667
Northern America,2000,27.324814125
Northern America,2001,27.424530715000003
Northern America,2002,27.51976443
Northern America,2003,27.61017582
Northern America,2004,27.695428120000003
Northern America,2005,27.774429705000003
Northern America,2006,27.847518635
Northern America,2007,27.91398371
Northern America,2008,27.973380545
Northern America,2009,28.024861665
Northern America,2010,28.06768759
Northern America,2011,28.103055275000003
Northern America,2012,28.132169415
Northern America,2013,28.15826748
Northern America,2014,28.18320714
Northern America,2015,28.208273495
Northern America,2016,28.2337282
Oceania,2000,25.436241613333333
Oceania,2001,25.517924253333334
Oceania,2002,25.59884116666667
Oceania,2003,25.678675251666665
Oceania,2004,25.75757740333333
Oceania,2005,25.834869201666667
Oceania,2006,25.910066015
Oceania,2007,25.9834243
Oceania,2008,26.055135673333336
Oceania,2009,26.12566629
Oceania,2010,26.194697235000003
Oceania,2011,26.2637957
Oceania,2012,26.333566013333336
Oceania,2013,26.404382081666668
Oceania,2014,26.47633606
Oceania,2015,26.549153808333333
Oceania,2016,26.622552041666665
South America,2000,24.999843465833333
South America,2001,25.090119295833333
South America,2002,25.181162125
South America,2003,25.27318728583333
South America,2004,25.366570436666667
South America,2005,25.460854401666666
South America,2006,25.556052968333333
South America,2007,25.65239758
South America,2008,25.749905931666664
South America,2009,25.848413009166663
South America,2010,25.947882088333333
South America,2011,26.048494318333336
South America,2012,26.149519639166662
South America,2013,26.250528084166664
South America,2014,26.35178179916667
South America,2015,26.45310529
South America,2016,26.55462697833333
South-eastern Asia,2000,22.058451605
South-eastern Asia,2001,22.141242365
South-eastern Asia,2002,22.225836244
South-eastern Asia,2003,22.312092456
South-eastern Asia,2004,22.399938949
South-eastern Asia,2005,22.489804039
South-eastern Asia,2006,22.581456211
South-eastern Asia,2007,22.674464776
South-eastern Asia,2008,22.768613424
South-eastern Asia,2009,22.86418463
South-eastern Asia,2010,22.96119957
South-eastern Asia,2011,23.061136503
South-eastern Asia,2012,23.163414422
South-eastern Asia,2013,23.267015217
South-eastern Asia,2014,23.372030013
South-eastern Asia,2015,23.478285227
South-eastern Asia,2016,23.584665
Southern Asia,2000,21.761224193333334
Southern Asia,2001,21.85087238111111
Southern Asia,2002,21.940307537777777
Southern Asia,2003,22.02884857444444
Southern Asia,2004,22.115819647777776
Southern Asia,2005,22.20129629888889
Southern Asia,2006,22.285256503333333
Southern Asia,2007,22.36877385
Southern Asia,2008,22.45251573888889
Southern Asia,2009,22.536991834444443
Southern Asia,2010,22.622017645555555
Southern Asia,2011,22.70847840888889
Southern Asia,2012,22.79664926888889
Southern Asia,2013,22.886077626666665
Southern Asia,2014,22.97609476111111
Southern Asia,2015,23.066274978888888
Southern Asia,2016,23.156490966666667
Western Asia,2000,26.035798061666668
Western Asia,2001,26.114333015
Western Asia,2002,26.191980035
Western Asia,2003,26.269282456666662
Western Asia,2004,26.34645268222222
Western Asia,2005,26.423272832222224
Western Asia,2006,26.500555541111112
Western Asia,2007,26.57968038888889
Western Asia,2008,26.66233704444444
Western Asia,2009,26.74748881
Western Asia,2010,26.833887042222223
Western Asia,2011,26.921304988333333
Western Asia,2012,27.009128355
Western Asia,2013,27.09712086722222
Western Asia,2014,27.18575006833333
Western Asia,2015,27.27414916333333
Western Asia,2016,27.362571411666668
All Countries,2000,24.49743277161905
All Countries,2001,24.576039304142856
All Countries,2002,24.65470295457143
All Countries,2003,24.73339097147619
All Countries,2004,24.811827300238097
All Countries,2005,24.88937583309524
All Countries,2006,24.96603529547619
All Countries,2007,25.04166214504762
All Countries,2008,25.116178088666665
All Countries,2009,25.189274564
All Countries,2010,25.260858823190475
All Countries,2011,25.33188155885714
All Countries,2012,25.402458171190474
All Countries,2013,25.47298017552381
All Countries,2014,25.54407101561905
All Countries,2015,25.61549880528572
All Countries,2016,25.687209546380952
